Date,Close,Change,High,Low,Open,Volume
2019/05/07,214.0,0.47,217.0,209.0,217.0,24014
2019/05/08,212.0,-0.93,213.0,211.0,212.0,7627
2019/05/09,213.0,0.47,213.0,212.0,212.0,5281
2019/05/12,205.0,-3.76,209.0,205.0,209.0,10836
2019/05/13,207.0,0.98,210.0,205.0,205.0,11005
2019/05/14,209.0,0.97,210.0,204.0,204.0,12425
2019/05/15,217.0,3.83,219.0,210.0,212.0,61957
2019/05/16,220.0,1.38,222.0,216.0,216.0,22146
2019/05/19,220.0,0,221.0,218.0,220.0,17397
2019/05/20,218.0,-0.91,219.0,216.0,218.0,13443
2019/05/21,217.0,-0.46,218.0,215.0,218.0,8890
2019/05/22,216.0,-0.46,219.0,216.0,219.0,5727
2019/05/23,215.0,-0.46,219.0,213.0,219.0,10435
2019/05/26,211.0,-1.86,215.0,211.0,211.0,7427
2019/05/27,212.0,0.47,212.0,208.0,208.0,2973
2019/05/28,214.0,0.94,214.0,211.0,212.0,11138
2019/05/29,216.0,0.93,218.0,212.0,212.0,4664
2019/05/30,215.0,-0.46,223.0,215.0,220.0,13311
2019/06/02,213.0,-0.93,218.0,213.0,218.0,3736
2019/06/03,212.0,-0.47,216.0,212.0,216.0,8489
2019/06/04,215.0,1.42,215.0,212.0,212.0,18055
2019/06/06,214.0,-0.47,217.0,213.0,211.0,7224
2019/06/10,213.0,-0.47,215.0,210.0,210.0,12239
2019/06/11,214.0,0.47,217.0,213.0,217.0,3895
2019/06/12,212.0,-0.93,214.0,204.0,205.0,14355
2019/06/13,210.0,-0.94,212.0,210.0,211.0,5801
2019/06/16,210.0,0,213.0,210.0,213.0,5590
2019/06/17,210.0,0,212.0,209.0,210.0,5942
2019/06/18,211.0,0.48,212.0,208.0,211.0,24122
2019/06/19,210.0,-0.47,214.0,210.0,212.0,7915
2019/06/20,212.0,0.95,214.0,210.0,210.0,7219
2019/06/23,214.0,0.94,216.0,210.0,214.0,5228
2019/06/24,210.0,-1.87,213.0,210.0,212.0,10265
2019/06/25,211.0,0.48,212.0,211.0,212.0,394
2019/06/26,212.0,0.47,212.0,211.0,211.0,5377
2019/06/27,210.0,-0.94,212.0,210.0,212.0,4350
2019/06/30,207.0,-1.43,210.0,207.0,210.0,12578
2019/07/01,206.0,-0.48,207.0,205.0,205.0,2245
2019/07/02,211.0,2.43,211.0,205.0,205.0,5149
2019/07/03,214.0,1.42,214.0,208.0,210.0,10542
2019/07/04,210.0,-1.87,215.0,210.0,212.0,7593
2019/07/07,210.0,0,213.0,200.0,200.0,4873
2019/07/08,213.0,1.43,213.0,209.0,210.0,11636
2019/07/09,213.0,0,216.0,213.0,213.0,14499
2019/07/10,212.0,-0.47,215.0,212.0,213.0,18600
2019/07/11,212.0,0,214.0,211.0,211.0,7576
2019/07/14,215.0,1.42,216.0,212.0,216.0,7012
2019/07/15,214.0,-0.47,216.0,213.0,214.0,2607
2019/07/16,216.0,0.93,216.0,213.0,214.0,4619
2019/07/17,217.0,0.46,219.0,216.0,216.0,12287
2019/07/18,217.0,0,219.0,215.0,217.0,1664
2019/07/21,216.0,-0.46,217.0,214.0,217.0,2650
2019/07/22,215.0,-0.46,216.0,214.0,214.0,914
2019/07/23,215.0,0,217.0,215.0,215.0,2733
2019/07/24,217.0,0.93,219.0,215.0,216.0,4314
2019/07/25,212.0,-2.3,216.0,212.0,215.0,3808
2019/07/28,211.0,-0.47,216.0,211.0,216.0,3670
2019/07/29,213.0,0.95,215.0,212.0,215.0,3388
2019/07/30,212.0,-0.47,213.0,212.0,213.0,1200
2019/07/31,211.0,-0.47,215.0,211.0,215.0,12997
2019/08/01,211.0,0,213.0,210.0,211.0,6670
2019/08/04,211.0,0,213.0,211.0,211.0,4840
2019/08/05,210.0,-0.47,212.0,208.0,210.0,2011
2019/08/06,209.0,-0.48,211.0,209.0,209.0,3553
2019/08/07,210.0,0.48,210.0,205.0,205.0,5442
2019/08/08,206.0,-1.9,214.0,206.0,214.0,3676
2019/08/11,208.0,0.97,209.0,206.0,202.0,3398
2019/08/12,208.0,0,208.0,204.0,206.0,5577
2019/08/13,203.0,-2.4,212.0,203.0,212.0,28898
2019/08/14,204.0,0.49,207.0,203.0,203.0,5493
2019/08/15,207.0,1.47,207.0,203.0,204.0,1516
2019/08/18,204.0,-1.45,210.0,204.0,207.0,10052
2019/08/19,207.0,1.47,210.0,205.0,205.0,8536
2019/08/20,207.0,0,207.0,206.0,207.0,3849
2019/08/21,208.0,0.48,208.0,204.0,205.0,8299
2019/08/22,205.0,-1.44,212.0,205.0,212.0,9265
2019/08/25,205.0,0,206.0,204.0,205.0,8009
2019/08/26,205.0,0,205.0,204.0,204.0,2490
2019/08/27,204.0,-0.49,208.0,204.0,205.0,4932
2019/08/28,204.0,0,208.0,204.0,208.0,4468
2019/08/29,205.0,0.49,208.0,203.0,203.0,7577
2019/09/01,206.0,0.49,207.0,205.0,207.0,3450
2019/09/02,206.0,0,206.0,204.0,205.0,6758
2019/09/03,208.0,0.97,208.0,203.0,203.0,7786
2019/09/04,209.0,0.48,209.0,208.0,208.0,1141
2019/09/05,208.0,-0.48,209.0,207.0,209.0,5884
2019/09/08,206.0,-0.96,212.0,206.0,212.0,6827
2019/09/09,207.0,0.49,210.0,206.0,210.0,11811
2019/09/10,207.0,0,208.0,205.0,207.0,1455
2019/09/11,208.0,0.48,208.0,206.0,206.0,10821
2019/09/15,205.0,-1.91,209.0,205.0,209.0,13671
2019/09/16,204.0,-0.49,206.0,201.0,205.0,32492
2019/09/17,209.0,2.45,210.0,208.0,208.0,4326
2019/09/18,210.0,0.48,210.0,209.0,209.0,8032
2019/09/19,208.0,-0.95,212.0,208.0,208.0,4234
2019/09/22,206.0,-0.96,207.0,205.0,207.0,4132
2019/09/23,204.0,-0.97,206.0,203.0,206.0,9190
2019/09/24,203.0,-0.49,204.0,203.0,204.0,6069
2019/09/25,201.0,-0.99,203.0,200.0,203.0,19757
